person_id;activity_index;purpose;start_time;end_time;x;y;facility_id;link_id
330203;0;leisure;-Infinity;0.0;729390.348161;5359714.042661;sec_2400;64664
283997;0;work;-Infinity;0.0;697260.318646;5354822.304218;work_6982;12590
194983;0;home;-Infinity;0.0;709830.031529;5372482.631985;home_194983;6762
115638;0;work;-Infinity;0.0;717835.175646;5370237.846043;work_3777;6091
330203;1;leisure;0.0;Infinity;729390.348161;5359714.042661;sec_2400;64664
283997;1;home;844.0;34200.0;697264.862303;5355633.857284;home_283997;38682
194983;1;work;1766.0;Infinity;702059.757846;5364350.535571;work_5210;80398
115638;1;home;2802.0;Infinity;730560.638828;5348046.32381;home_115638;9743
173052;0;home;-Infinity;9096.0;734496.672887;5352780.63769;home_173052;62980
208990;0;home;-Infinity;10566.0;708182.367158;5344338.257771;home_208990;2268
227916;0;home;-Infinity;10829.0;711716.219051;5373646.829014;home_227916;73239
209671;0;home;-Infinity;11309.0;721337.811423;5362093.428974;home_209671;56970
174524;0;home;-Infinity;11933.0;715967.514834;5354619.3463;home_174524;47429
304088;0;home;-Infinity;12772.0;718756.950921;5342546.913751;home_304088;79171
174524;1;work;12772.0;44333.0;714603.930931;5351486.036283;work_1144;19382
114036;0;work;-Infinity;12947.0;682929.462274;5391849.27795;work_9424;52090
173052;1;work;13031.0;41496.0;701461.885184;5364679.185414;work_5212;5577
244436;0;home;-Infinity;13036.0;724249.269141;5344820.560512;home_244436;40069
180251;0;work;-Infinity;13218.0;704553.451829;5356239.61679;work_5540;28047
180251;1;work;13218.0;45618.0;704553.451829;5356239.61679;work_5540;28047
145009;0;work;-Infinity;13264.0;714890.444312;5350687.426706;work_653;6116
145009;1;work;13264.0;45664.0;714890.444312;5350687.426706;work_653;6116
265599;0;home;-Infinity;13270.0;722115.413481;5354699.514172;home_265599;2497
260445;0;home;-Infinity;13363.0;683829.066281;5377992.828324;home_260445;18653
127552;0;home;-Infinity;13469.0;702341.316146;5364544.134522;home_127552;34340
78518;0;home;-Infinity;13508.0;688725.97433;5386980.609305;home_78518;23042
157364;0;work;-Infinity;13578.0;705168.063063;5358902.548902;work_5487;44531
209671;1;work;13630.0;43709.0;701461.885184;5364679.185414;work_5212;5577
130145;0;home;-Infinity;13662.0;693122.75636;5364737.197574;home_130145;62624
70379;0;home;-Infinity;13667.0;722949.136401;5344780.021418;home_70379;79247
159391;0;work;-Infinity;13673.0;701461.885184;5364679.185414;work_5212;5577
130145;1;work;13708.0;42462.0;693094.493517;5364772.012802;work_5735;62624
144161;0;home;-Infinity;13761.0;716608.546411;5359134.148983;home_144161;53770
227916;1;work;13771.0;43229.0;684179.799633;5398915.918629;work_7923;22213
270125;0;home;-Infinity;13817.0;728628.569937;5340063.180265;home_270125;60257
78518;1;work;13839.0;42308.0;688833.904352;5387280.44383;work_8534;81170
155254;0;home;-Infinity;13858.0;703464.752704;5367537.969714;home_155254;2397
231961;0;home;-Infinity;13940.0;684457.732225;5378301.309104;home_231961;72819
169596;0;home;-Infinity;13950.0;692449.582064;5404944.426438;home_169596;62115
85529;0;leisure;-Infinity;13959.0;716936.975292;5372185.923813;sec_2670;1521
260445;1;work;13979.0;58363.0;684517.253507;5376943.613806;work_8282;14396
234451;0;home;-Infinity;13982.0;682176.957273;5376388.007798;home_234451;81073
184991;0;work;-Infinity;13988.0;699208.222252;5364839.633986;work_4830;55564
184991;1;work;13988.0;46388.0;699208.222252;5364839.633986;work_4830;55564
248574;0;work;-Infinity;14000.0;690853.961357;5357016.211911;work_4443;9722
280933;0;work;-Infinity;14123.0;687038.297779;5366681.08761;work_5681;71537
204304;0;home;-Infinity;14156.0;681736.678628;5392605.3966;home_204304;49144
173191;0;work;-Infinity;14156.0;701461.885184;5364679.185414;work_5212;5577
262816;0;work;-Infinity;14178.0;692259.859293;5405148.974871;work_8696;40966
185041;0;home;-Infinity;14230.0;705185.299924;5366815.220438;home_185041;2387
68463;0;home;-Infinity;14232.0;717011.523456;5357015.376796;home_68463;12686
272525;0;home;-Infinity;14240.0;722054.454902;5348358.590404;home_272525;68452
174532;0;home;-Infinity;14289.0;716350.365469;5354670.017517;home_174532;20250
119696;0;home;-Infinity;14308.0;732545.867369;5344977.28296;home_119696;31234
262816;1;home;14338.0;26478.0;692623.884681;5405025.99022;home_262816;66553
114036;1;home;14338.0;37907.0;692549.297935;5395028.00156;home_114036;41455
166471;0;home;-Infinity;14361.0;682217.41172;5382738.549564;home_166471;27484
234451;1;work;14365.0;46082.0;685099.113358;5377935.968114;work_8099;65956
142828;0;home;-Infinity;14452.0;722697.915618;5357689.871782;home_142828;30954
298814;0;home;-Infinity;14454.0;716098.32056;5351516.276929;home_298814;41040
289361;0;home;-Infinity;14490.0;682919.48873;5379128.736845;home_289361;36273
231961;1;work;14515.0;Infinity;684900.294187;5381392.684003;work_8170;5428
297865;0;home;-Infinity;14528.0;716290.328478;5351069.907505;home_297865;58676
283353;0;home;-Infinity;14552.0;707385.091038;5381977.776696;home_283353;63936
68463;1;work;14569.0;43032.0;716725.323296;5357167.829236;work_936;1181
324466;0;home;-Infinity;14580.0;681773.752037;5398162.547824;home_324466;40524
186376;0;home;-Infinity;14598.0;698985.324312;5364119.724992;home_186376;64088
280933;1;home;14630.0;20123.0;688603.619845;5363833.071484;home_280933;18812
181239;0;home;-Infinity;14643.0;724774.678194;5366560.731649;home_181239;34664
157364;1;home;14688.0;28758.0;703679.439726;5354406.684175;home_157364;25859
305772;0;home;-Infinity;14711.0;711212.192342;5347649.781425;home_305772;75086
111360;0;home;-Infinity;14735.0;685283.880838;5400383.846801;home_111360;60926
185976;0;home;-Infinity;14764.0;704109.622132;5363800.174099;home_185976;17280
248574;1;home;14770.0;70700.0;688161.994008;5361911.832419;home_248574;72030
200311;0;home;-Infinity;14803.0;688658.52578;5387831.326935;home_200311;46210
155254;1;work;14819.0;57658.0;702435.609799;5362862.593293;work_4977;26155
186818;0;home;-Infinity;14849.0;704196.317081;5364269.310962;home_186818;53429
127552;1;work;14874.0;46469.0;704654.932275;5359730.140236;work_4664;79514
103471;0;home;-Infinity;14889.0;693186.749691;5360175.319212;home_103471;71566
94402;0;home;-Infinity;14892.0;697588.473479;5356997.442317;home_94402;54716
127655;0;leisure;-Infinity;14944.0;703372.109133;5365132.297207;sec_2537;54841
315801;0;home;-Infinity;14947.0;710188.316923;5368593.763016;home_315801;69999
85529;1;home;14952.0;35559.0;716187.580672;5371593.375936;home_85529;6061
166926;0;leisure;-Infinity;14953.0;686815.406732;5378436.18117;sec_2916;31161
157401;0;home;-Infinity;14963.0;702749.402565;5352471.531418;home_157401;47235
251657;0;work;-Infinity;15012.0;704553.451829;5356239.61679;work_5540;28047
132388;0;home;-Infinity;15103.0;697392.117841;5354132.410716;home_132388;44896
144957;0;home;-Infinity;15123.0;715376.867318;5353031.267605;home_144957;77492
155073;0;home;-Infinity;15124.0;700817.143687;5358369.047499;home_155073;18096
215560;0;work;-Infinity;15132.0;704099.200508;5375982.208577;work_7470;56719
215560;1;work;15132.0;47532.0;704099.200508;5375982.208577;work_7470;56719
324466;1;work;15138.0;44280.0;685342.68618;5398308.548405;work_7991;58113
174532;1;work;15140.0;58089.0;714782.646562;5351155.457035;work_1386;32863
166926;1;work;15142.0;43753.0;686673.26464;5378469.420016;work_8308;64370
272802;0;home;-Infinity;15149.0;715308.657756;5347290.349228;home_272802;6003
218714;0;home;-Infinity;15173.0;704522.088765;5359539.167468;home_218714;40088
158426;0;home;-Infinity;15176.0;694781.729662;5362447.023777;home_158426;45334
149505;0;home;-Infinity;15227.0;713032.875217;5366294.231237;home_149505;53295
218677;0;home;-Infinity;15240.0;705014.709532;5366509.981471;home_218677;2385
204304;1;work;15258.0;42056.0;685342.68618;5398308.548405;work_7991;58113
298814;1;work;15260.0;46854.0;714218.428505;5355053.623398;work_975;72841
271495;0;home;-Infinity;15277.0;736396.718216;5361559.417237;home_271495;4436
200311;1;work;15288.0;38203.0;690315.805567;5387132.318886;work_8522;20630
159481;0;home;-Infinity;15297.0;716883.784179;5373005.116976;home_159481;80529
259426;0;home;-Infinity;15337.0;682276.415;5396503.215;home_259426;45501
297865;1;work;15356.0;50528.0;714218.72143;5354546.45199;work_720;53448
169596;1;work;15362.0;41850.0;684615.480128;5397675.083647;work_7955;34332
307446;0;work;-Infinity;15369.0;701461.885184;5364679.185414;work_5212;5577
260450;0;home;-Infinity;15375.0;680901.44913;5378393.28348;home_260450;35488
185976;1;work;15376.0;46864.0;701461.885184;5364679.185414;work_5212;5577
149754;0;home;-Infinity;15379.0;711039.928528;5354160.386889;home_149754;79924
149159;0;home;-Infinity;15391.0;722982.406508;5349113.757469;home_149159;64764
277410;0;home;-Infinity;15392.0;705218.917349;5362612.565069;home_277410;5946
277499;0;home;-Infinity;15406.0;703528.718145;5364767.130558;home_277499;70813
171901;0;home;-Infinity;15415.0;688195.010256;5374224.403725;home_171901;5591
144161;1;work;15465.0;45561.0;701461.885184;5364679.185414;work_5212;5577
150953;0;home;-Infinity;15467.0;716407.779774;5363118.319215;home_150953;67009
155073;1;work;15476.0;47224.0;702735.75766;5362737.68038;work_5048;993
157308;0;home;-Infinity;15508.0;703092.689896;5354349.574402;home_157308;52366
117325;0;home;-Infinity;15531.0;714676.590533;5354636.138546;home_117325;52467
112459;0;home;-Infinity;15542.0;684670.551797;5371349.027297;home_112459;22342
251657;1;home;15550.0;71712.0;703077.234021;5355126.033716;home_251657;4467
175571;0;home;-Infinity;15557.0;714201.739481;5355666.569156;home_175571;60848
231882;0;home;-Infinity;15616.0;684421.795924;5377580.798507;home_231882;41024
258341;0;home;-Infinity;15617.0;681671.281167;5395091.274235;home_258341;64627
